model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,1,6,0.043457031,-0.061799254,,,0.671875000,1.000000000,344.000000000,0.148437500,2.127513993,76.000000000
1.5B,rdgdpo_positive,1,7,0.093750000,0.376329988,,,0.701171875,1.000000000,359.000000000,0.255859375,1.655432879,131.000000000
1.5B,rdgdpo_positive,1,8,0.152832031,0.707825124,,,0.662109375,1.000000000,339.000000000,0.337890625,1.399834837,173.000000000
1.5B,rdgdpo_positive,1,9,0.275390625,0.796404898,,,0.634765625,1.000000000,325.000000000,0.445312500,1.193917332,228.000000000
1.5B,rdgdpo_positive,1,10,0.395019531,0.974342942,0.762500000,1.482838463,0.568359375,1.000000000,291.000000000,0.544921875,1.021278979,279.000000000
1.5B,rdgdpo_positive,1,11,0.583007812,0.969874442,,,0.613281250,1.000000000,314.000000000,0.474609375,1.136741426,243.000000000
1.5B,rdgdpo_positive,1,12,0.714355469,1.064102411,,,0.566406250,1.000000000,290.000000000,0.392578125,1.201160301,201.000000000
1.5B,rdgdpo_positive,1,13,0.796875000,1.144426346,,,0.521484375,1.000000000,267.000000000,0.269531250,1.390964632,138.000000000
1.5B,rdgdpo_positive,1,14,0.813476562,1.182701111,,,0.521484375,1.000000000,267.000000000,0.185546875,1.676462441,95.000000000
1.5B,rdgdpo_positive,1,15,0.819824219,1.329242110,,,0.445312500,1.000000000,228.000000000,0.140625000,1.779513042,72.000000000
1.5B,rdgdpo_positive,1,16,0.872558594,1.261490226,,,0.498046875,1.000000000,255.000000000,0.142578125,1.868997240,73.000000000
1.5B,rdgdpo_positive,1,17,0.832031250,1.384901524,,,0.423828125,1.000000000,217.000000000,0.123046875,1.855921454,63.000000000
1.5B,rdgdpo_positive,1,18,0.838378906,1.327206254,,,0.457031250,1.000000000,234.000000000,0.128906250,1.882937743,66.000000000
1.5B,rdgdpo_positive,1,19,0.865234375,1.390907645,,,0.388671875,1.000000000,199.000000000,0.082031250,2.176716619,42.000000000
1.5B,rdgdpo_positive,1,20,0.878417969,1.541114450,0.912500000,1.588619713,0.375000000,1.000000000,192.000000000,0.087890625,2.065591118,45.000000000
1.5B,rdgdpo_positive,1,21,0.880371094,1.485095978,,,0.378906250,1.000000000,194.000000000,0.068359375,2.354327323,35.000000000
1.5B,rdgdpo_positive,1,22,0.899414062,1.558713555,,,0.347656250,1.000000000,178.000000000,0.066406250,2.288076510,34.000000000
1.5B,rdgdpo_positive,1,23,0.889160156,1.602818370,,,0.369140625,1.000000000,189.000000000,0.076171875,2.201398157,39.000000000
1.5B,rdgdpo_positive,1,24,0.894531250,1.502074957,,,0.351562500,1.000000000,180.000000000,0.082031250,2.070196678,42.000000000
1.5B,rdgdpo_positive,1,25,0.894531250,1.685822964,,,0.316406250,1.000000000,162.000000000,0.062500000,2.250000000,32.000000000
1.5B,rdgdpo_positive,1,26,0.915039062,1.640057564,,,0.355468750,1.000000000,182.000000000,0.095703125,1.927248223,49.000000000
1.5B,rdgdpo_positive,1,27,0.897949219,1.573546886,,,0.308593750,1.000000000,158.000000000,0.083984375,1.916877306,43.000000000
1.5B,rdgdpo_positive,1,28,0.905761719,1.470645547,,,0.310546875,1.000000000,159.000000000,0.056640625,2.341529120,29.000000000
1.5B,rdgdpo_positive,1,29,0.920898438,1.661356568,,,0.333984375,1.000000000,171.000000000,0.058593750,2.387467277,30.000000000
1.5B,rdgdpo_positive,1,30,0.917480469,1.590993404,0.975000000,1.720619484,0.292968750,1.000000000,150.000000000,0.066406250,2.100420126,34.000000000
1.5B,rdgdpo_positive,1,31,0.925292969,1.672280908,,,0.248046875,1.000000000,127.000000000,0.046875000,2.300362290,24.000000000
1.5B,rdgdpo_positive,1,32,0.937988281,1.682760358,,,0.250000000,1.000000000,128.000000000,0.058593750,2.065591118,30.000000000
1.5B,rdgdpo_positive,1,33,0.934082031,1.694679260,,,0.300781250,1.000000000,154.000000000,0.068359375,2.097617696,35.000000000
1.5B,rdgdpo_positive,1,34,0.921875000,1.626789808,,,0.291015625,1.000000000,149.000000000,0.062500000,2.157834563,32.000000000
1.5B,rdgdpo_positive,1,35,0.923828125,1.673162341,,,0.283203125,1.000000000,145.000000000,0.050781250,2.361550990,26.000000000
1.5B,rdgdpo_positive,1,36,0.921386719,1.748151064,,,0.251953125,1.000000000,129.000000000,0.052734375,2.185812841,27.000000000
1.5B,rdgdpo_positive,1,37,0.924804688,1.580051303,,,0.253906250,1.000000000,130.000000000,0.031250000,2.850438563,16.000000000
1.5B,rdgdpo_positive,1,38,0.940429688,1.792593479,,,0.269531250,1.000000000,138.000000000,0.048828125,2.349468025,25.000000000
1.5B,rdgdpo_positive,1,39,0.920410156,1.548422933,,,0.281250000,1.000000000,144.000000000,0.037109375,2.752988806,19.000000000
1.5B,rdgdpo_positive,1,40,0.933593750,1.721048236,0.975000000,1.756074030,0.251953125,1.000000000,129.000000000,0.052734375,2.185812841,27.000000000
1.5B,rdgdpo_positive,1,41,0.931640625,1.754269361,,,0.248046875,1.000000000,127.000000000,0.042968750,2.402650052,22.000000000
1.5B,rdgdpo_positive,1,42,0.936523438,1.677801490,,,0.238281250,1.000000000,122.000000000,0.046875000,2.254624876,24.000000000
1.5B,rdgdpo_positive,1,43,0.921386719,1.701043844,,,0.240234375,1.000000000,123.000000000,0.041015625,2.420153478,21.000000000
1.5B,rdgdpo_positive,1,44,0.925292969,1.686241388,,,0.230468750,1.000000000,118.000000000,0.037109375,2.492092758,19.000000000
1.5B,rdgdpo_positive,1,45,0.928222656,1.752859354,,,0.242187500,1.000000000,124.000000000,0.054687500,2.104417123,28.000000000
1.5B,rdgdpo_positive,1,46,0.933593750,1.783969760,,,0.224609375,1.000000000,115.000000000,0.052734375,2.063797291,27.000000000
1.5B,rdgdpo_positive,1,47,0.940429688,1.754608512,,,0.240234375,1.000000000,123.000000000,0.017578125,3.696845502,9.000000000
1.5B,rdgdpo_positive,1,48,0.943359375,1.747432470,,,0.195312500,1.000000000,100.000000000,0.042968750,2.132007164,22.000000000
1.5B,rdgdpo_positive,1,49,0.936035156,1.737937808,,,0.220703125,1.000000000,113.000000000,0.037109375,2.438722703,19.000000000
1.5B,rdgdpo_positive,1,50,0.924316406,1.763900638,0.975000000,1.770002601,0.214843750,1.000000000,110.000000000,0.046875000,2.140872096,24.000000000
1.5B,rdgdpo_positive,1,51,0.936035156,1.794533253,,,0.205078125,1.000000000,105.000000000,0.035156250,2.415229458,18.000000000
1.5B,rdgdpo_positive,1,52,0.938964844,1.769763589,,,0.240234375,1.000000000,123.000000000,0.033203125,2.689850204,17.000000000
1.5B,rdgdpo_positive,1,53,0.937500000,1.741487861,,,0.191406250,1.000000000,98.000000000,0.017578125,3.299831646,9.000000000
1.5B,rdgdpo_positive,1,54,0.928222656,1.690476775,,,0.212890625,1.000000000,109.000000000,0.031250000,2.610076627,16.000000000
1.5B,rdgdpo_positive,1,55,0.936035156,1.789528370,,,0.173828125,1.000000000,89.000000000,0.039062500,2.109502311,20.000000000
